temperature,humidity,lux,flux
27.12,38.88,88,46.93
27.12,38.73,88,46.93
27.12,38.58,88,46.93
27.12,38.46,88,46.93
27.12,38.34,88,49.54
27.12,38.24,88,44.33
27.12,38.17,88,41.72
27.12,38.11,88,52.15
27.12,38.04,88,36.5
27.12,37.99,111,44.33
27.12,37.91,111,49.54
27.12,37.84,111,41.72
27.06,37.77,111,41.72
27.06,37.7,111,41.72
27.06,37.62,111,46.93
27.06,37.55,111,46.93
27.06,37.5,111,44.33
27.06,37.44,111,57.36
27.06,37.37,111,52.15
27.06,37.29,111,54.76
27.06,37.19,88,59.97
27.06,37.06,88,41.72
27.12,36.93,88,39.11
27.12,36.84,88,52.15
27.06,36.79,88,57.36
27.12,36.68,111,49.54
27.12,36.56,88,52.15
27.12,36.47,111,44.33
27.12,36.4,96,52.15
27.12,36.34,96,39.11
27.12,36.29,96,36.5
27.12,36.21,96,39.11
27.12,36.14,96,33.9
27.19,36.06,96,41.72
27.19,35.96,96,39.11
27.19,35.87,96,31.29
27.19,35.78,96,31.29
27.19,35.76,96,33.9
27.19,35.74,96,31.29
27.19,35.71,96,33.9
27.25,35.65,96,33.9
27.19,35.55,88,33.9
27.19,35.47,111,36.5
27.19,35.37,96,31.29
27.19,35.26,88,33.9
27.25,35.16,88,33.9
27.25,35.07,88,33.9
27.25,34.97,88,41.72
27.25,34.89,88,44.33
27.25,34.81,88,46.93
27.25,34.69,88,39.11
27.19,34.58,88,49.54
27.19,34.48,88,39.11
27.25,34.4,88,44.33
27.25,34.33,88,44.33
27.19,34.23,88,41.72
27.25,34.14,88,49.54
27.25,34.05,88,41.72
27.25,33.95,88,39.11
27.25,33.84,88,46.93
27.25,33.69,88,57.36
27.25,33.54,88,39.11
27.25,33.39,88,49.54
27.25,33.24,96,41.72
27.25,33.13,96,44.33
27.25,33.03,96,49.54
27.25,32.94,96,41.72
27.31,32.81,96,52.15
27.31,32.69,104,49.54
27.25,32.59,104,41.72
27.25,32.48,104,57.36
27.25,32.41,104,62.58
27.25,32.36,104,54.76
27.25,32.26,104,57.36
27.25,32.15,104,62.58
27.25,32.05,104,62.58
27.25,31.95,104,67.79
27.19,31.82,104,70.4
27.25,31.68,104,78.22
27.25,31.55,104,59.97
27.25,31.41,104,62.58
27.25,31.27,104,62.58
27.19,31.14,104,57.36
27.25,31.04,104,75.62
27.25,30.95,104,70.4
27.19,30.82,104,73.01
27.25,30.71,104,70.4
27.19,30.59,104,75.62
27.19,30.44,104,75.62
27.19,30.34,104,59.97
27.19,30.25,104,67.79
27.25,30.15,104,70.4
27.19,30.02,104,70.4
27.25,29.88,104,67.79
27.25,29.75,104,67.79
27.19,29.59,104,57.36
27.19,29.45,104,73.01
27.19,29.31,104,65.19
27.19,29.18,104,62.58
27.19,29.05,104,67.79
27.19,28.91,88,73.01
27.19,28.78,96,73.01
27.19,28.69,96,67.79
27.19,28.61,96,75.62
27.19,28.52,96,75.62
27.19,28.45,96,86.05
27.19,28.43,96,78.22
27.19,28.42,96,67.79
27.19,28.4,96,70.4
27.19,28.41,96,75.62
27.19,28.41,96,83.44
27.19,28.34,96,80.83
27.19,28.25,111,70.4
27.19,28.19,111,67.79
27.19,28.13,111,65.19
27.19,28.06,111,70.4
27.19,27.94,80,73.01
27.19,27.76,80,65.19
27.19,27.6,80,62.58
27.19,27.45,80,65.19
27.19,27.32,80,65.19
27.19,27.21,80,75.62
27.19,27.11,80,73.01
27.19,27.02,80,73.01
27.19,26.96,80,88.65
27.19,26.85,80,70.4
27.25,26.73,80,73.01
27.25,26.62,80,65.19
27.25,26.51,80,73.01
27.25,26.4,96,73.01
27.25,26.32,96,67.79
27.25,26.25,96,62.58
27.25,26.16,96,86.05
27.25,26.08,96,70.4
27.25,25.98,96,83.44
27.25,25.87,96,75.62
27.25,25.78,96,75.62
27.25,25.71,96,73.01
27.25,25.63,96,67.79
27.31,25.54,96,99.08
27.31,25.46,96,86.05
27.31,25.41,96,78.22
27.31,25.35,96,99.08
27.31,25.26,96,83.44
27.31,25.16,96,80.83
27.31,25.05,96,91.26
27.25,24.93,96,86.05
27.31,24.81,96,83.44
27.31,24.71,96,86.05
27.31,24.64,96,83.44
27.31,24.54,96,88.65
27.31,24.45,96,83.44
27.31,24.35,96,83.44
27.31,24.3,96,83.44
27.37,24.29,96,80.83
27.37,24.29,96,83.44
27.37,24.25,96,93.87
27.37,24.22,96,96.48
27.37,24.16,96,88.65
27.37,24.09,96,80.83
27.37,24.11,96,96.48
27.37,24.07,96,93.87
27.31,23.99,96,93.87
27.37,23.93,96,91.26
27.37,23.9,96,93.87
27.37,23.86,96,75.62
27.37,23.78,96,88.65
27.44,23.7,96,88.65
27.44,23.6,96,96.48
27.44,23.53,96,91.26
27.44,23.46,96,83.44
27.44,23.4,96,83.44
27.44,23.36,96,70.4
27.5,23.35,96,88.65
27.44,23.32,96,88.65
27.44,23.29,96,75.62
27.44,23.22,96,83.44
27.44,23.16,96,78.22
27.44,23.08,96,86.05
27.5,23.03,96,73.01
27.5,22.99,96,73.01
27.5,22.9,96,73.01
27.5,23,96,91.26
27.5,23.02,96,88.65
27.5,23.03,96,96.48
27.5,23.01,96,101.69
27.5,22.96,96,106.91
27.5,22.86,96,83.44
27.5,22.77,96,80.83
27.56,22.71,96,91.26
27.56,22.61,96,93.87
27.62,22.55,96,80.83
27.62,22.46,96,86.05
27.62,22.4,96,83.44
27.62,22.39,96,75.62
27.62,22.34,96,78.22
27.62,22.27,96,88.65
27.69,22.22,96,88.65
27.69,22.16,96,104.3
27.69,22.09,96,99.08
27.69,22.03,111,99.08
27.69,21.97,96,86.05
27.69,21.92,96,78.22
27.69,21.89,96,75.62
27.69,21.87,96,86.05
27.69,21.86,96,101.69
27.75,21.85,96,119.94
27.75,21.84,96,112.12
27.75,21.81,96,114.73
27.81,21.8,96,96.48
27.81,21.75,96,104.3
27.81,21.7,96,93.87
27.81,21.65,96,91.26
27.81,21.63,96,86.05
27.87,21.61,96,86.05
27.81,21.56,96,99.08
27.81,21.52,96,122.55
27.81,21.48,96,101.69
27.87,21.45,96,99.08
27.87,21.6,96,91.26
27.87,21.89,96,91.26
27.81,22.05,96,86.05
27.87,22.11,96,106.91
27.87,22.1,96,86.05
27.87,22.17,96,106.91
27.87,22.22,96,101.69
27.94,22.22,96,99.08
27.94,22.14,80,88.65
27.94,22.04,96,99.08
27.94,21.97,96,96.48
28,21.84,96,104.17
28,21.69,96,93.76
28,21.56,96,93.76
28,21.45,96,83.34
28,21.38,96,106.78
28,21.34,96,117.2
28,21.29,96,114.59
28,21.2,96,93.76
28,21.13,96,104.17
28.06,21.07,96,98.96
28,20.99,96,109.38
28,20.92,96,88.55
28,20.9,96,91.15
28,20.87,96,106.78
28.06,20.86,96,93.76
28.06,20.87,96,91.15
28.06,20.85,96,93.76
28.06,20.85,96,88.55
28.06,20.83,96,98.96
28,20.8,96,88.55
28.06,20.8,96,101.57
28.06,20.79,96,91.15
28.06,20.78,96,93.76
28.06,20.79,96,85.94
28.06,20.81,96,101.57
28.06,20.8,96,93.76
28.06,20.78,96,96.36
28.06,20.78,96,88.55
28.06,20.78,96,91.15
28.06,20.78,96,88.55
28.06,20.79,96,104.17
28.06,20.79,96,106.78
28.12,20.78,96,109.38
28.12,20.79,96,98.96
28.12,20.82,96,88.55
28.19,20.89,96,98.96
28.12,20.91,96,104.17
28.12,20.94,96,85.94
28.12,20.94,96,96.36
28.12,20.97,96,96.36
28.12,20.99,80,117.2
28.12,20.97,80,98.96
28.19,20.95,96,101.57
28.19,20.94,96,106.78
28.19,20.93,96,106.78
28.25,20.97,96,114.59
28.25,20.97,96,104.17
28.31,20.99,96,98.96
28.31,20.99,96,119.8
28.25,20.97,96,98.96
28.25,20.95,96,104.17
28.25,20.98,96,109.38
28.25,20.99,96,109.38
28.25,20.98,96,104.17
28.31,20.97,96,106.78
28.25,20.91,96,96.36
28.25,20.87,96,101.57
28.25,20.83,88,111.99
28.25,20.84,111,101.57
28.25,20.87,96,101.57
28.31,20.86,96,83.34
28.31,20.85,96,96.36
28.31,20.81,96,104.17
28.37,20.77,96,83.34
28.31,20.74,96,101.57
28.37,20.75,96,83.34
28.37,20.74,96,93.76
28.37,20.73,96,93.76
28.44,20.71,96,78.13
28.37,20.69,96,93.76
28.44,20.67,96,106.78
28.44,20.65,96,83.34
28.44,20.64,96,88.55
28.44,20.64,96,98.96
28.44,20.62,96,91.15
28.44,20.62,96,93.76
28.44,20.59,96,96.36
28.44,20.57,96,101.57
28.44,20.56,96,91.15
28.44,20.55,96,93.76
28.44,20.52,96,98.96
28.44,20.5,96,96.36
28.5,20.51,96,101.57
28.44,20.51,96,85.94
28.5,20.51,96,93.76
28.5,20.5,96,96.36
28.5,20.5,96,88.55
28.5,20.49,96,106.78
28.5,20.45,111,111.99
28.5,20.44,111,109.38
28.5,20.43,111,109.38
28.5,20.44,96,93.76
28.5,20.43,96,98.96
28.5,20.43,96,101.57
28.5,20.47,96,83.34
28.5,20.68,88,85.94
28.5,20.82,104,78.13
28.5,20.85,88,93.76
28.56,20.84,96,93.76
28.56,20.84,96,88.55
28.56,20.81,96,78.13
28.62,20.8,96,93.76
28.62,20.83,96,91.15
28.62,20.9,80,88.55
28.69,20.91,80,98.96
28.69,20.87,80,91.15
28.69,20.78,80,91.15
28.75,20.71,80,83.34
28.69,20.68,80,91.15
28.69,20.64,80,93.76
28.69,20.59,80,70.32
28.75,20.55,80,75.53
28.75,20.52,80,83.34
28.69,20.49,80,91.15
28.69,20.48,80,98.96
28.69,20.47,80,104.17
28.69,20.46,80,96.36
28.69,20.49,80,75.53
28.69,20.49,80,91.15
